match_date,host_country,host_city,stadium_name,match_type,match_period,first_batting_team,second_batting_team,first_batting_team_score,second_batting_team_score,winning_team,margin,margin_type,winning_condition,season,season_winner,note
09-05-2016,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,39th match,Night,Royal Challengers Bengaluru,Punjab Kings,175/6,174/4,Royal Challengers Bengaluru,1,runs,,2016,Sunrisers Hyderabad,
08-05-2016,India,Kolkata,"Eden Gardens, Kolkata",38th match,Night,Gujarat Lions,Kolkata Knight Riders,158/4,164/5,Gujarat Lions,5,wickets,12 balls remaining,2016,Sunrisers Hyderabad,
08-05-2016,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",37th match,Day/Night,Sunrisers Hyderabad,Mumbai Indians,177/3,92/10,Sunrisers Hyderabad,85,runs,,2016,Sunrisers Hyderabad,
07-05-2016,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",35th match,Day/Night,Rising Pune Supergiant,Royal Challengers Bengaluru,191/6,195/3,Royal Challengers Bengaluru,7,wickets,3 balls remaining,2016,Sunrisers Hyderabad,
07-05-2016,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,36th match,Night,Delhi Capitals,Punjab Kings,181/5,172/5,Punjab Kings,9,runs,,2016,Sunrisers Hyderabad,
06-05-2016,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",34th match,Night,Gujarat Lions,Sunrisers Hyderabad,126/6,129/5,Sunrisers Hyderabad,5,wickets,6 balls remaining,2016,Sunrisers Hyderabad,
05-05-2016,India,Delhi,"Arun Jaitley Stadium, Delhi",33rd match,Night,Rising Pune Supergiant,Delhi Capitals,162/7,166/3,Rising Pune Supergiant,7,wickets,5 balls remaining,2016,Sunrisers Hyderabad,
04-05-2016,India,Kolkata,"Eden Gardens, Kolkata",32nd match,Night,Punjab Kings,Kolkata Knight Riders,164/3,157/9,Kolkata Knight Riders,7,runs,,2016,Sunrisers Hyderabad,
03-05-2016,India,Rajkot,"Saurashtra Cricket Association Stadium, Rajkot",31st match,Night,Delhi Capitals,Gujarat Lions,149/7,150/2,Delhi Capitals,8,wickets,16 balls remaining,2016,Sunrisers Hyderabad,
02-05-2016,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",30th match,Night,Kolkata Knight Riders,Royal Challengers Bengaluru,185/7,189/5,Kolkata Knight Riders,5,wickets,5 balls remaining,2016,Sunrisers Hyderabad,
01-05-2016,India,Pune,"Maharashtra Cricket Association Stadium, Pune",29th match,Night,Mumbai Indians,Rising Pune Supergiant,159/5,161/2,Mumbai Indians,8,wickets,9 balls remaining,2016,Sunrisers Hyderabad,
01-05-2016,India,Rajkot,"Saurashtra Cricket Association Stadium, Rajkot",28th match,Day/Night,Punjab Kings,Gujarat Lions,154/10,131/9,Punjab Kings,23,runs,,2016,Sunrisers Hyderabad,
30-04-2016,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",27th match,Night,Royal Challengers Bengaluru,Sunrisers Hyderabad,194/5,179/6,Sunrisers Hyderabad,15,runs,,2016,Sunrisers Hyderabad,
30-04-2016,India,Delhi,"Arun Jaitley Stadium, Delhi",26th match,Day/Night,Kolkata Knight Riders,Delhi Capitals,186/8,159/10,Delhi Capitals,27,runs,,2016,Sunrisers Hyderabad,
29-04-2016,India,Pune,"Maharashtra Cricket Association Stadium, Pune",25th match,Night,Gujarat Lions,Rising Pune Supergiant,195/3,196/7,Gujarat Lions,3,wickets,,2016,Sunrisers Hyderabad,
28-04-2016,India,Mumbai,"Wankhede Stadium, Mumbai",24th match,Night,Kolkata Knight Riders,Mumbai Indians,174/5,178/4,Mumbai Indians,6,wickets,12 balls remaining,2016,Sunrisers Hyderabad,
27-04-2016,India,Delhi,"Arun Jaitley Stadium, Delhi",23rd match,Night,Gujarat Lions,Delhi Capitals,172/6,171/5,Gujarat Lions,1,runs,,2016,Sunrisers Hyderabad,
26-04-2016,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",22nd match,Night,Rising Pune Supergiant,Sunrisers Hyderabad,118/8,94/3,Rising Pune Supergiant,34,runs,D/L method,2016,Sunrisers Hyderabad,
25-04-2016,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,21st match,Night,Mumbai Indians,Punjab Kings,189/6,164/7,Mumbai Indians,25,runs,,2016,Sunrisers Hyderabad,
24-04-2016,India,Pune,"Maharashtra Cricket Association Stadium, Pune",20th match,Night,Kolkata Knight Riders,Rising Pune Supergiant,160/5,162/8,Kolkata Knight Riders,2,wickets,3 balls remaining,2016,Sunrisers Hyderabad,
24-04-2016,India,Rajkot,"Saurashtra Cricket Association Stadium, Rajkot",19th match,Day/Night,Royal Challengers Bengaluru,Gujarat Lions,180/2,182/4,Gujarat Lions,6,wickets,3 balls remaining,2016,Sunrisers Hyderabad,
23-04-2016,India,Delhi,"Arun Jaitley Stadium, Delhi",17th match,Day/Night,Mumbai Indians,Delhi Capitals,164/4,154/7,Delhi Capitals,10,runs,,2016,Sunrisers Hyderabad,
23-04-2016,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18th match,Night,Punjab Kings,Sunrisers Hyderabad,143/6,146/5,Sunrisers Hyderabad,5,wickets,13 balls remaining,2016,Sunrisers Hyderabad,
22-04-2016,India,Pune,"Maharashtra Cricket Association Stadium, Pune",16th match,Night,Royal Challengers Bengaluru,Rising Pune Supergiant,185/3,172/8,Royal Challengers Bengaluru,13,runs,,2016,Sunrisers Hyderabad,
21-04-2016,India,Rajkot,"Saurashtra Cricket Association Stadium, Rajkot",15th match,Night,Sunrisers Hyderabad,Gujarat Lions,135/8,137/0,Sunrisers Hyderabad,10,wickets,31 balls remaining,2016,Sunrisers Hyderabad,
20-04-2016,India,Mumbai,"Wankhede Stadium, Mumbai",14th match,Night,Royal Challengers Bengaluru,Mumbai Indians,170/7,171/4,Mumbai Indians,6,wickets,12 balls remaining,2016,Sunrisers Hyderabad,
19-04-2016,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,13th match,Night,Kolkata Knight Riders,Punjab Kings,138/8,141/4,Kolkata Knight Riders,6,wickets,17 balls remaining,2016,Sunrisers Hyderabad,
18-04-2016,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",12th match,Night,Mumbai Indians,Sunrisers Hyderabad,142/6,145/3,Sunrisers Hyderabad,7,wickets,15 balls remaining,2016,Sunrisers Hyderabad,
17-04-2016,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",11th match,Night,Delhi Capitals,Royal Challengers Bengaluru,191/5,192/3,Delhi Capitals,7,wickets,5 balls remaining,2016,Sunrisers Hyderabad,
17-04-2016,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,10th match,Day/Night,Rising Pune Supergiant,Punjab Kings,152/7,153/4,Punjab Kings,6,wickets,8 balls remaining,2016,Sunrisers Hyderabad,
16-04-2016,India,Mumbai,"Wankhede Stadium, Mumbai",9th match,Night,Gujarat Lions,Mumbai Indians,143/8,147/7,Gujarat Lions,3,wickets,,2016,Sunrisers Hyderabad,
16-04-2016,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",8th match,Day/Night,Kolkata Knight Riders,Sunrisers Hyderabad,142/7,146/2,Kolkata Knight Riders,8,wickets,10 balls remaining,2016,Sunrisers Hyderabad,
15-04-2016,India,Delhi,"Arun Jaitley Stadium, Delhi",7th match,Night,Punjab Kings,Delhi Capitals,111/9,113/2,Delhi Capitals,8,wickets,39 balls remaining,2016,Sunrisers Hyderabad,
14-04-2016,India,Rajkot,"Saurashtra Cricket Association Stadium, Rajkot",6th match,Night,Rising Pune Supergiant,Gujarat Lions,163/5,164/3,Gujarat Lions,7,wickets,12 balls remaining,2016,Sunrisers Hyderabad,
13-04-2016,India,Kolkata,"Eden Gardens, Kolkata",5th match,Night,Mumbai Indians,Kolkata Knight Riders,187/5,188/4,Mumbai Indians,6,wickets,5 balls remaining,2016,Sunrisers Hyderabad,
12-04-2016,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",4th match,Night,Sunrisers Hyderabad,Royal Challengers Bengaluru,227/4,182/6,Royal Challengers Bengaluru,45,runs,,2016,Sunrisers Hyderabad,
11-04-2016,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,3rd match,Night,Gujarat Lions,Punjab Kings,161/6,162/5,Gujarat Lions,5,wickets,14 balls remaining,2016,Sunrisers Hyderabad,
10-04-2016,India,Kolkata,"Eden Gardens, Kolkata",2nd match,Night,Delhi Capitals,Kolkata Knight Riders,98/10,99/1,Kolkata Knight Riders,9,wickets,35 balls remaining,2016,Sunrisers Hyderabad,
09-04-2016,India,Mumbai,"Wankhede Stadium, Mumbai",1st match,Night,Rising Pune Supergiant,Mumbai Indians,121/8,126/1,Rising Pune Supergiant,9,wickets,32 balls remaining,2016,Sunrisers Hyderabad,
24-05-2015,India,Kolkata,"Eden Gardens, Kolkata",Final,Night,Mumbai Indians,Chennai Super Kings,202/5,161/8,Mumbai Indians,41,runs,,2015,Mumbai Indians,
22-05-2015,India,Ranchi,"JSCA International Stadium Complex, Ranchi",Qualifier 2,Night,Royal Challengers Bengaluru,Chennai Super Kings,139/8,140/7,Chennai Super Kings,3,wickets,1 balls remaining,2015,Mumbai Indians,
20-05-2015,India,Pune,"Maharashtra Cricket Association Stadium, Pune",Eliminator,Night,Royal Challengers Bengaluru,Rajasthan Royals,180/4,109/10,Royal Challengers Bengaluru,71,runs,,2015,Mumbai Indians,
19-05-2015,India,Mumbai,"Wankhede Stadium, Mumbai",Qualifier 1,Night,Mumbai Indians,Chennai Super Kings,187/6,162/10,Mumbai Indians,25,runs,,2015,Mumbai Indians,
17-05-2015,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",55th match,Day/Night,Delhi Capitals,Royal Challengers Bengaluru,187/5,2/0,No Result,0,,,2015,Mumbai Indians,
17-05-2015,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",56th match,Night,Mumbai Indians,Sunrisers Hyderabad,113/10,114/1,Mumbai Indians,9,wickets,37 balls remaining,2015,Mumbai Indians,
16-05-2015,India,Mumbai,"Brabourne Stadium, Mumbai",54th match,Night,Kolkata Knight Riders,Rajasthan Royals,199/6,190/9,Rajasthan Royals,9,runs,,2015,Mumbai Indians,
16-05-2015,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,53rd match,Day/Night,Chennai Super Kings,Punjab Kings,130/7,134/3,Chennai Super Kings,7,wickets,19 balls remaining,2015,Mumbai Indians,
15-05-2015,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",52nd match,Night,Royal Challengers Bengaluru,Sunrisers Hyderabad,135/3,83/4,Royal Challengers Bengaluru,6,wickets,1 balls remaining D/L method,2015,Mumbai Indians,
14-05-2015,India,Mumbai,"Wankhede Stadium, Mumbai",51st match,Night,Kolkata Knight Riders,Mumbai Indians,171/4,166/7,Mumbai Indians,5,runs,,2015,Mumbai Indians,
13-05-2015,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,50th match,Night,Royal Challengers Bengaluru,Punjab Kings,106/6,84/6,Punjab Kings,22,runs,,2015,Mumbai Indians,
12-05-2015,India,Raipur,"Shaheed Veer Narayan Singh International Stadium, Raipur",49th match,Night,Chennai Super Kings,Delhi Capitals,119/6,120/4,Delhi Capitals,6,wickets,20 balls remaining,2015,Mumbai Indians,
11-05-2015,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",48th match,Night,Punjab Kings,Sunrisers Hyderabad,185/5,180/7,Sunrisers Hyderabad,5,runs,,2015,Mumbai Indians,
10-05-2015,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",47th match,Night,Rajasthan Royals,Chennai Super Kings,157/5,145/9,Chennai Super Kings,12,runs,,2015,Mumbai Indians,
10-05-2015,India,Mumbai,"Wankhede Stadium, Mumbai",46th match,Day/Night,Royal Challengers Bengaluru,Mumbai Indians,235/1,196/7,Royal Challengers Bengaluru,39,runs,,2015,Mumbai Indians,
09-05-2015,India,Raipur,"Shaheed Veer Narayan Singh International Stadium, Raipur",45th match,Night,Sunrisers Hyderabad,Delhi Capitals,163/4,157/4,Sunrisers Hyderabad,6,runs,,2015,Mumbai Indians,
09-05-2015,India,Kolkata,"Eden Gardens, Kolkata",44th match,Day/Night,Punjab Kings,Kolkata Knight Riders,183/5,184/9,Kolkata Knight Riders,1,wickets,1 balls remaining,2015,Mumbai Indians,
08-05-2015,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",43rd match,Night,Mumbai Indians,Chennai Super Kings,158/5,159/4,Mumbai Indians,6,wickets,4 balls remaining,2015,Mumbai Indians,
07-05-2015,India,Kolkata,"Eden Gardens, Kolkata",42nd match,Night,Delhi Capitals,Kolkata Knight Riders,171/7,158/6,Kolkata Knight Riders,13,runs,,2015,Mumbai Indians,
07-05-2015,India,Mumbai,"Brabourne Stadium, Mumbai",41st match,Day/Night,Sunrisers Hyderabad,Rajasthan Royals,201/4,194/7,Sunrisers Hyderabad,7,runs,,2015,Mumbai Indians,
06-05-2015,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",40th match,Night,Punjab Kings,Royal Challengers Bengaluru,226/3,88/10,Royal Challengers Bengaluru,138,runs,,2015,Mumbai Indians,
05-05-2015,India,Mumbai,"Wankhede Stadium, Mumbai",39th match,Night,Delhi Capitals,Mumbai Indians,152/6,153/5,Mumbai Indians,5,wickets,3 balls remaining,2015,Mumbai Indians,
04-05-2015,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",37th match,Day/Night,Royal Challengers Bengaluru,Chennai Super Kings,148/9,124/10,Chennai Super Kings,24,runs,,2015,Mumbai Indians,
04-05-2015,India,Kolkata,"Eden Gardens, Kolkata",38th match,Night,Sunrisers Hyderabad,Kolkata Knight Riders,167/7,132/9,Kolkata Knight Riders,35,runs,,2015,Mumbai Indians,
03-05-2015,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,35th match,Day/Night,Mumbai Indians,Punjab Kings,172/3,149/7,Mumbai Indians,23,runs,,2015,Mumbai Indians,
03-05-2015,India,Mumbai,"Brabourne Stadium, Mumbai",36th match,Night,Delhi Capitals,Rajasthan Royals,189/2,175/7,Rajasthan Royals,14,runs,,2015,Mumbai Indians,
02-05-2015,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",34th match,Night,Chennai Super Kings,Sunrisers Hyderabad,192/7,170/6,Sunrisers Hyderabad,22,runs,,2015,Mumbai Indians,
02-05-2015,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",33rd match,Day/Night,Kolkata Knight Riders,Royal Challengers Bengaluru,111/4,115/3,Royal Challengers Bengaluru,7,wickets,2 balls remaining,2015,Mumbai Indians,
01-05-2015,India,Mumbai,"Wankhede Stadium, Mumbai",32nd match,Night,Rajasthan Royals,Mumbai Indians,187/5,179/7,Mumbai Indians,8,runs,,2015,Mumbai Indians,
01-05-2015,India,Delhi,"Arun Jaitley Stadium, Delhi",31st match,Day/Night,Punjab Kings,Delhi Capitals,118/8,119/1,Delhi Capitals,9,wickets,37 balls remaining,2015,Mumbai Indians,
30-04-2015,India,Kolkata,"Eden Gardens, Kolkata",30th match,Night,Chennai Super Kings,Kolkata Knight Riders,165/9,169/3,Kolkata Knight Riders,7,wickets,1 balls remaining,2015,Mumbai Indians,
29-04-2015,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",29th match,Night,Rajasthan Royals,,200/7,,No Result,0,,,2015,Mumbai Indians,
28-04-2015,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",28th match,Night,Kolkata Knight Riders,Chennai Super Kings,134/6,132/9,Chennai Super Kings,2,runs,,2015,Mumbai Indians,
27-04-2015,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,27th match,Night,Sunrisers Hyderabad,Punjab Kings,150/6,130/9,Sunrisers Hyderabad,20,runs,,2015,Mumbai Indians,
26-04-2015,India,Delhi,"Arun Jaitley Stadium, Delhi",26th match,Night,Royal Challengers Bengaluru,Delhi Capitals,95/10,99/0,Royal Challengers Bengaluru,10,wickets,57 balls remaining,2015,Mumbai Indians,
25-04-2015,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",24th match,Night,Punjab Kings,Chennai Super Kings,192/3,95/9,Chennai Super Kings,97,runs,,2015,Mumbai Indians,
25-04-2015,India,Mumbai,"Wankhede Stadium, Mumbai",23rd match,Day/Night,Sunrisers Hyderabad,Mumbai Indians,157/8,137/8,Mumbai Indians,20,runs,,2015,Mumbai Indians,
24-04-2015,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",22nd match,Night,Royal Challengers Bengaluru,Rajasthan Royals,130/9,134/1,Royal Challengers Bengaluru,9,wickets,23 balls remaining,2015,Mumbai Indians,
23-04-2015,India,Delhi,"Arun Jaitley Stadium, Delhi",21st match,Night,Mumbai Indians,Delhi Capitals,190/4,153/9,Delhi Capitals,37,runs,,2015,Mumbai Indians,
22-04-2015,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",19th match,Day/Night,Kolkata Knight Riders,Sunrisers Hyderabad,176/4,101/4,Sunrisers Hyderabad,16,runs,D/L method,2015,Mumbai Indians,
22-04-2015,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",20th match,Night,Chennai Super Kings,Royal Challengers Bengaluru,181/8,154/8,Chennai Super Kings,27,runs,,2015,Mumbai Indians,
21-04-2015,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",18th match,Night,Punjab Kings,Rajasthan Royals,191/6,191/6,Tied,0,,,2015,Mumbai Indians,
20-04-2015,India,Delhi,"Arun Jaitley Stadium, Delhi",17th match,Night,Kolkata Knight Riders,Delhi Capitals,146/8,147/4,Kolkata Knight Riders,6,wickets,11 balls remaining,2015,Mumbai Indians,
19-04-2015,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",16th match,Night,Mumbai Indians,Royal Challengers Bengaluru,209/7,191/7,Mumbai Indians,18,runs,,2015,Mumbai Indians,
19-04-2015,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",15th match,Day/Night,Chennai Super Kings,Rajasthan Royals,156/4,157/2,Rajasthan Royals,8,wickets,10 balls remaining,2015,Mumbai Indians,
18-04-2015,India,Pune,"Maharashtra Cricket Association Stadium, Pune",14th match,Night,Kolkata Knight Riders,Punjab Kings,155/9,159/6,Kolkata Knight Riders,4,wickets,13 balls remaining,2015,Mumbai Indians,
18-04-2015,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",13th match,Day/Night,Delhi Capitals,Sunrisers Hyderabad,167/4,163/8,Delhi Capitals,4,runs,,2015,Mumbai Indians,
17-04-2015,India,Mumbai,"Wankhede Stadium, Mumbai",12th match,Night,Chennai Super Kings,Mumbai Indians,183/7,189/4,Chennai Super Kings,6,wickets,20 balls remaining,2015,Mumbai Indians,
16-04-2015,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",11th match,Night,Rajasthan Royals,Sunrisers Hyderabad,127/5,131/4,Rajasthan Royals,6,wickets,,2015,Mumbai Indians,
15-04-2015,India,Pune,"Maharashtra Cricket Association Stadium, Pune",10th match,Night,Delhi Capitals,Punjab Kings,165/7,169/5,Delhi Capitals,5,wickets,1 balls remaining,2015,Mumbai Indians,
14-04-2015,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",9th match,Night,Mumbai Indians,Rajasthan Royals,164/5,165/3,Rajasthan Royals,7,wickets,5 balls remaining,2015,Mumbai Indians,
13-04-2015,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",8th match,Night,Sunrisers Hyderabad,Royal Challengers Bengaluru,166/10,172/2,Sunrisers Hyderabad,8,wickets,16 balls remaining,2015,Mumbai Indians,
12-04-2015,India,Mumbai,"Wankhede Stadium, Mumbai",7th match,Night,Punjab Kings,Mumbai Indians,177/5,159/7,Punjab Kings,18,runs,,2015,Mumbai Indians,
12-04-2015,India,Delhi,"Arun Jaitley Stadium, Delhi",6th match,Day/Night,Rajasthan Royals,Delhi Capitals,184/3,186/7,Rajasthan Royals,3,wickets,,2015,Mumbai Indians,
11-04-2015,India,Kolkata,"Eden Gardens, Kolkata",5th match,Night,Royal Challengers Bengaluru,Kolkata Knight Riders,177/6,179/7,Royal Challengers Bengaluru,3,wickets,6 balls remaining,2015,Mumbai Indians,
11-04-2015,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",4th match,Day/Night,Sunrisers Hyderabad,Chennai Super Kings,209/4,164/6,Chennai Super Kings,45,runs,,2015,Mumbai Indians,
10-04-2015,India,Pune,"Maharashtra Cricket Association Stadium, Pune",3rd match,Night,Rajasthan Royals,Punjab Kings,162/7,136/8,Rajasthan Royals,26,runs,,2015,Mumbai Indians,
09-04-2015,India,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2nd match,Night,Delhi Capitals,Chennai Super Kings,150/7,149/9,Chennai Super Kings,1,runs,,2015,Mumbai Indians,
08-04-2015,India,Kolkata,"Eden Gardens, Kolkata",1st match,Night,Mumbai Indians,Kolkata Knight Riders,168/3,170/3,Kolkata Knight Riders,7,wickets,9 balls remaining,2015,Mumbai Indians,
01-06-2014,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",Final,Night,Kolkata Knight Riders,Punjab Kings,199/4,200/7,Kolkata Knight Riders,3,wickets,3 balls remaining,2014,Kolkata Knight Riders,
30-05-2014,India,Mumbai,"Wankhede Stadium, Mumbai",Qualifier 2,Night,Punjab Kings,Chennai Super Kings,226/6,202/7,Punjab Kings,24,runs,,2014,Kolkata Knight Riders,
28-05-2014,India,Mumbai,"Brabourne Stadium, Mumbai",Eliminator,Night,Chennai Super Kings,Mumbai Indians,173/8,176/3,Chennai Super Kings,7,wickets,8 balls remaining,2014,Kolkata Knight Riders,
27-05-2014,India,Kolkata,"Eden Gardens, Kolkata",Qualifier 1,Day/Night,Punjab Kings,Kolkata Knight Riders,163/8,135/8,Kolkata Knight Riders,28,runs,,2014,Kolkata Knight Riders,
25-05-2014,India,Mumbai,"Wankhede Stadium, Mumbai",56th match,Night,Rajasthan Royals,Mumbai Indians,189/4,195/5,Mumbai Indians,5,wickets,32 balls remaining,2014,Kolkata Knight Riders,
25-05-2014,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,55th match,Day/Night,Delhi Capitals,Punjab Kings,115/10,119/3,Punjab Kings,7,wickets,37 balls remaining,2014,Kolkata Knight Riders,
24-05-2014,India,Kolkata,"Eden Gardens, Kolkata",54th match,Night,Sunrisers Hyderabad,Kolkata Knight Riders,160/7,161/6,Kolkata Knight Riders,4,wickets,34 balls remaining,2014,Kolkata Knight Riders,
24-05-2014,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",53rd match,Day/Night,Chennai Super Kings,Royal Challengers Bengaluru,154/6,160/2,Chennai Super Kings,8,wickets,14 balls remaining,2014,Kolkata Knight Riders,
23-05-2014,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,52nd match,Night,Rajasthan Royals,Punjab Kings,179/4,163/8,Punjab Kings,16,runs,,2014,Kolkata Knight Riders,
23-05-2014,India,Mumbai,"Wankhede Stadium, Mumbai",51st match,Day/Night,Delhi Capitals,Mumbai Indians,173/10,158/4,Mumbai Indians,15,runs,,2014,Kolkata Knight Riders,
22-05-2014,India,Kolkata,"Eden Gardens, Kolkata",49th match,Day/Night,Royal Challengers Bengaluru,Kolkata Knight Riders,195/4,165/5,Kolkata Knight Riders,30,runs,,2014,Kolkata Knight Riders,
22-05-2014,India,Ranchi,"JSCA International Stadium Complex, Ranchi",50th match,Night,Sunrisers Hyderabad,Chennai Super Kings,185/3,189/4,Sunrisers Hyderabad,6,wickets,2 balls remaining,2014,Kolkata Knight Riders,
21-05-2014,India,Mohali,I.S. Bindra Punjab Cricket Association Stadium,48th match,Night,Mumbai Indians,Punjab Kings,156/8,159/3,Mumbai Indians,7,wickets,6 balls remaining,2014,Kolkata Knight Riders,
20-05-2014,India,Kolkata,"Eden Gardens, Kolkata",47th match,Night,Chennai Super Kings,Kolkata Knight Riders,154/4,156/2,Kolkata Knight Riders,8,wickets,12 balls remaining,2014,Kolkata Knight Riders,
20-05-2014,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",46th match,Day/Night,Royal Challengers Bengaluru,Sunrisers Hyderabad,160/6,161/3,Sunrisers Hyderabad,7,wickets,2 balls remaining,2014,Kolkata Knight Riders,
19-05-2014,India,Delhi,"Arun Jaitley Stadium, Delhi",45th match,Night,Punjab Kings,Delhi Capitals,164/7,165/6,Punjab Kings,4,wickets,2 balls remaining,2014,Kolkata Knight Riders,
19-05-2014,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",44th match,Day/Night,Mumbai Indians,Rajasthan Royals,178/3,153/8,Mumbai Indians,25,runs,,2014,Kolkata Knight Riders,
18-05-2014,India,Ranchi,"JSCA International Stadium Complex, Ranchi",42nd match,Day/Night,Royal Challengers Bengaluru,Chennai Super Kings,138/4,142/5,Royal Challengers Bengaluru,5,wickets,1 balls remaining,2014,Kolkata Knight Riders,
18-05-2014,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",43rd match,Night,Kolkata Knight Riders,Sunrisers Hyderabad,142/8,146/3,Kolkata Knight Riders,7,wickets,2 balls remaining,2014,Kolkata Knight Riders,
15-05-2014,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",41st match,Night,Delhi Capitals,Rajasthan Royals,201/6,139/9,Rajasthan Royals,62,runs,,2014,Kolkata Knight Riders,
14-05-2014,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",39th match,Day/Night,Punjab Kings,Sunrisers Hyderabad,205/5,211/4,Punjab Kings,6,wickets,8 balls remaining,2014,Kolkata Knight Riders,
14-05-2014,India,Cuttack,"Barabati Stadium, Cuttack",40th match,Night,Mumbai Indians,Kolkata Knight Riders,141/5,142/4,Kolkata Knight Riders,6,wickets,8 balls remaining,2014,Kolkata Knight Riders,
13-05-2014,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",38th match,Night,Delhi Capitals,Royal Challengers Bengaluru,186/4,170/7,Royal Challengers Bengaluru,16,runs,,2014,Kolkata Knight Riders,
13-05-2014,India,Ranchi,"JSCA International Stadium Complex, Ranchi",37th match,Day/Night,Rajasthan Royals,Chennai Super Kings,148/8,149/5,Chennai Super Kings,5,wickets,2 balls remaining,2014,Kolkata Knight Riders,
12-05-2014,India,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",36th match,Night,Mumbai Indians,Sunrisers Hyderabad,157/3,160/3,Mumbai Indians,7,wickets,8 balls remaining,2014,Kolkata Knight Riders,
11-05-2014,India,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",35th match,Night,Rajasthan Royals,Royal Challengers Bengaluru,190/5,191/5,Rajasthan Royals,5,wickets,7 balls remaining,2014,Kolkata Knight Riders,
11-05-2014,India,Cuttack,"Barabati Stadium, Cuttack",34th match,Day/Night,Kolkata Knight Riders,Punjab Kings,149/8,150/1,Kolkata Knight Riders,9,wickets,12 balls remaining,2014,Kolkata Knight Riders,
10-05-2014,India,Mumbai,"Wankhede Stadium, Mumbai",33rd match,Night,Chennai Super Kings,Mumbai Indians,157/6,160/6,Chennai Super Kings,4,wickets,3 balls remaining,2014,Kolkata Knight Riders,
